Vernier Format 2
rc_prof rogiers.cmbl 24/02/2025 10:56:16 ,
Latest
Time	Potential 1	Potential 2
t	Pot 1	Pot 2
s	V	V

0,0316	1,663003663	1,57509157509
0,0318	2,18559218559	1,92185592186
0,032	2,66422466422	2,21978021978
0,0322	3,12332112332	2,49328449328
0,0324	3,52869352869	2,71794871795
0,0326	3,89987789988	2,89865689866
0,0328	4,20268620269	3,02564102564
0,033	4,43711843712	3,09401709402
0,0332	4,60805860806	3,11843711844
0,0334	4,70085470085	3,07936507937
0,0336	4,73015873016	2,99633699634
0,0338	4,68131868132	2,84981684982
0,034	4,55921855922	2,66422466422
0,0342	4,36874236874	2,42002442002
0,0344	4,11477411477	2,14652014652
0,0346	3,79731379731	1,83394383394
0,0348	3,41636141636	1,4822954823
0,035	3,01587301587	1,12576312576
0,0352	2,55189255189	0,739926739927
0,0354	2,06349206349	0,349206349206
0,0356	1,54578754579	-0,0512820512821
0,0358	1,0231990232	-0,446886446886
0,036	0,481074481074	-0,837606837607
0,0362	-0,0561660561661	-1,22832722833
0,0364	-0,588522588523	-1,57997557998
0,0366	-1,10622710623	-1,92185592186
0,0368	-1,58485958486	-2,2148962149
0,037	-2,05372405372	-2,4884004884
0,0372	-2,4590964591	-2,71306471306
0,0374	-2,83028083028	-2,89865689866
0,0376	-3,13797313797	-3,04029304029
0,0378	-3,38217338217	-3,11355311355
0,038	-3,56288156288	-3,14774114774
0,0382	-3,66544566545	-3,11355311355
0,0384	-3,71428571429	-3,04029304029
0,0386	-3,67521367521	-2,90842490842
0,0388	-3,57264957265	-2,72771672772
0,039	-3,39194139194	-2,49328449328
0,0392	-3,13797313797	-2,21978021978
0,0394	-2,83516483516	-1,91697191697
0,0396	-2,4590964591	-1,56532356532
0,0398	-2,05372405372	-1,20390720391
0,04	-1,58485958486	-0,808302808303
0,0402	-1,08669108669	-0,40293040293
0,0404	-0,554334554335	0,00732600732601
0,0406	-0,017094017094	0,407814407814
0,0408	0,520146520147	0,798534798535
0,041	1,07203907204	1,19413919414
0,0412	1,6043956044	1,54578754579
0,0414	2,13186813187	1,89255189255
0,0416	2,6105006105	2,19536019536
0,0418	3,07448107448	2,46398046398
0,042	3,48962148962	2,68864468864
0,0422	3,86080586081	2,86935286935
0,0424	4,17338217338	3,01587301587
0,0426	4,40781440781	3,08913308913
0,0428	4,59340659341	3,11843711844
0,043	4,69597069597	3,08424908425
0,0432	4,73015873016	3,00122100122
0,0434	4,69108669109	2,86935286935
0,0436	4,57875457875	2,67399267399
0,0438	4,39804639805	2,4590964591
0,044	4,13919413919	2,17094017094
0,0442	3,8315018315	1,86813186813
0,0444	3,4652014652	1,52625152625
0,0446	3,05982905983	1,16971916972
0,0448	2,60561660562	0,783882783883
0,045	2,1221001221	0,388278388278
0,0452	1,61416361416	-0,00732600732601
0,0454	1,07203907204	-0,412698412698
0,0456	0,534798534799	-0,793650793651
0,0458	-0,01221001221	-1,18437118437
0,046	-0,534798534799	-1,53601953602
0,0462	-1,0525030525	-1,88278388278
0,0464	-1,53601953602	-2,18559218559
0,0466	-1,99511599512	-2,45421245421
0,0468	-2,41514041514	-2,7032967033
0,047	-2,78632478632	-2,884004884
0,0472	-3,11355311355	-3,02564102564
0,0474	-3,36263736264	-3,10866910867
0,0476	-3,54822954823	-3,14285714286
0,0478	-3,66056166056	-3,12332112332
0,048	-3,7094017094	-3,04517704518
0,0482	-3,68498168498	-2,92307692308
0,0484	-3,57753357753	-2,74236874237
0,0486	-3,41636141636	-2,52747252747
0,0488	-3,17216117216	-2,24908424908
0,049	-2,86935286935	-1,95115995116
0,0492	-2,50305250305	-1,6043956044
0,0494	-2,0927960928	-1,25274725275
0,0496	-1,6336996337	-0,852258852259
0,0498	-1,14041514042	-0,446886446886
0,05	-0,622710622711	-0,0903540903541
