Vernier Format 2
rc_prof rogiers.cmbl 24/02/2025 10:55:53 ,
Latest
Time	Potential 1	Potential 2
t	Pot 1	Pot 2
s	V	V

0	-2,13675213675	-2,68864468864
0,0002	-2,36141636142	-2,77655677656
0,0004	-2,56654456654	-2,84981684982
0,0006	-2,76678876679	-2,90842490842
0,0008	-2,96214896215	-2,96214896215
0,001	-3,11355311355	-2,99145299145
0,0012	-3,27472527473	-3,02564102564
0,0014	-3,40170940171	-3,02075702076
0,0016	-3,52380952381	-3,02075702076
0,0018	-3,62148962149	-3,00122100122
0,002	-3,70451770452	-2,96703296703
0,0022	-3,76312576313	-2,93284493284
0,0024	-3,81196581197	-2,86935286935
0,0026	-3,83638583639	-2,81074481074
0,0028	-3,83638583639	-2,71306471306
0,003	-3,82661782662	-2,62515262515
0,0032	-3,79242979243	-2,5177045177
0,0034	-3,74358974359	-2,40537240537
0,0036	-3,67032967033	-2,26862026862
0,0038	-3,57753357753	-2,12698412698
0,004	-3,47985347985	-1,99023199023
0,0042	-3,3431013431	-1,82905982906
0,0044	-3,20634920635	-1,66788766789
0,0046	-3,04029304029	-1,49206349206
0,0048	-2,86935286935	-1,31623931624
0,005	-2,67887667888	-1,13064713065
0,0052	-2,47863247863	-0,945054945055
0,0054	-2,26373626374	-0,754578754579
0,0056	-2,01465201465	-0,549450549451
0,0058	-1,78021978022	-0,35409035409
0,006	-1,52136752137	-0,148962148962
0,0062	-1,2673992674	0,046398046398
0,0064	-0,993894993895	0,251526251526
0,0066	-0,720390720391	0,45177045177
0,0068	-0,446886446886	0,647130647131
0,007	-0,163614163614	0,847374847375
0,0072	0,119658119658	1,0231990232
0,0074	0,407814407814	1,21367521368
0,0076	0,691086691087	1,37973137973
0,0078	0,979242979243	1,56532356532
0,008	1,25763125763	1,73137973138
0,0082	1,54578754579	1,88278388278
0,0084	1,81929181929	2,04395604396
0,0086	2,07814407814	2,17582417582
0,0088	2,35653235653	2,31257631258
0,009	2,60561660562	2,42490842491
0,0092	2,8547008547	2,54212454212
0,0094	3,08913308913	2,64468864469
0,0096	3,31868131868	2,72771672772
0,0098	3,53357753358	2,81562881563
0,01	3,73382173382	2,87423687424
0,0102	3,93406593407	2,92796092796
0,0104	4,09523809524	2,96214896215
0,0106	4,26129426129	3,00122100122
0,0108	4,39804639805	3,00122100122
0,011	4,52014652015	3,00122100122
0,0112	4,61782661783	2,99145299145
0,0114	4,71062271062	2,96214896215
0,0116	4,778998779	2,92307692308
0,0118	4,82295482295	2,85958485958
0,012	4,85225885226	2,79609279609
0,0122	4,85714285714	2,70818070818
0,0124	4,84737484737	2,61538461538
0,0126	4,81318681319	2,51282051282
0,0128	4,76923076923	2,40537240537
0,013	4,70573870574	2,28327228327
0,0132	4,61294261294	2,13186813187
0,0134	4,51526251526	1,99511599512
0,0136	4,38339438339	1,82905982906
0,0138	4,25152625153	1,67277167277
0,014	4,08547008547	1,49694749695
0,0142	3,91452991453	1,32600732601
0,0144	3,73870573871	1,15506715507
0,0146	3,53846153846	0,964590964591
0,0148	3,32844932845	0,778998778999
0,015	3,10378510379	0,573870573871
0,0152	2,87912087912	0,388278388278
0,0154	2,62515262515	0,18315018315
0,0156	2,37606837607	-0,002442002442
0,0158	2,11721611722	-0,202686202686
0,016	1,85347985348	-0,398046398046
0,0162	1,58974358974	-0,583638583639
0,0164	1,30158730159	-0,783882783883
0,0166	1,02808302808	-0,964590964591
0,0168	0,744810744811	-1,15506715507
0,017	0,461538461538	-1,32600732601
0,0172	0,18315018315	-1,50183150183
0,0174	-0,0903540903541	-1,66788766789
0,0176	-0,368742368742	-1,82417582418
0,0178	-0,656898656899	-1,98046398046
0,018	-0,915750915751	-2,11721611722
0,0182	-1,18925518926	-2,25885225885
0,0184	-1,44322344322	-2,38583638584
0,0186	-1,69719169719	-2,50793650794
0,0188	-1,94139194139	-2,6105006105
0,019	-2,17582417582	-2,70818070818
0,0192	-2,40048840049	-2,79120879121
0,0194	-2,60073260073	-2,85958485958
0,0196	-2,80586080586	-2,92307692308
0,0198	-2,9768009768	-2,96703296703
0,02	-3,14774114774	-3,00610500611
0,0202	-3,28937728938	-3,02075702076
0,0204	-3,42612942613	-3,02564102564
0,0206	-3,53846153846	-3,02075702076
0,0208	-3,62637362637	-2,99145299145
0,021	-3,71916971917	-2,96703296703
0,0212	-3,76800976801	-2,91819291819
0,0214	-3,82173382173	-2,86446886447
0,0216	-3,83638583639	-2,78632478632
0,0218	-3,83638583639	-2,7032967033
0,022	-3,82173382173	-2,60561660562
0,0222	-3,78266178266	-2,49328449328
0,0224	-3,73382173382	-2,38583638584
0,0226	-3,65079365079	-2,2442002442
0,0228	-3,56776556777	-2,11721611722
0,023	-3,44566544567	-1,96092796093
0,0232	-3,32356532357	-1,79975579976
0,0234	-3,17704517705	-1,6336996337
0,0236	-3,01098901099	-1,46275946276
0,0238	-2,84493284493	-1,29181929182
0,024	-2,64468864469	-1,10134310134
0,0242	-2,44444444444	-0,915750915751
0,0244	-2,21978021978	-0,710622710623
0,0246	-1,99023199023	-0,520146520147
0,0248	-1,73626373626	-0,315018315018
0,025	-1,49206349206	-0,114774114774
0,0252	-1,22344322344	0,0805860805861
0,0254	-0,949938949939	0,285714285714
0,0256	-0,676434676435	0,47619047619
0,0258	-0,398046398046	0,686202686203
0,026	-0,119658119658	0,866910866911
0,0262	0,173382173382	1,06227106227
0,0264	0,45177045177	1,2380952381
0,0266	0,739926739927	1,4188034188
0,0268	1,0231990232	1,58974358974
0,027	1,30158730159	1,74603174603
0,0272	1,58974358974	1,91208791209
0,0274	1,86324786325	2,05860805861
0,0276	2,14163614164	2,20024420024
0,0278	2,3956043956	2,33211233211
0,028	2,64957264957	2,44932844933
0,0282	2,89377289377	2,56166056166
0,0284	3,12332112332	2,64468864469
0,0286	3,35775335775	2,74725274725
0,0288	3,56776556777	2,81562881563
0,029	3,77289377289	2,88888888889
0,0292	3,94871794872	2,93772893773
0,0294	4,13431013431	2,9768009768
0,0296	4,28083028083	3,00122100122
0,0298	4,41758241758	2,99633699634
0,03	4,53968253968	3,00610500611
0,0302	4,63247863248	2,97191697192
0,0304	4,72039072039	2,95726495726
0,0306	4,78388278388	2,90842490842
0,0308	4,83760683761	2,8547008547
0,031	4,84737484737	2,78144078144
0,0312	4,85714285714	2,69841269841
