Channel              :		CH1
Frequency            :		1.973kHz
Period               :		0.507ms
PK-PK                :		39.06mV
Probe attenuation    :		1X
Voltage per ADC value:		0.122070mV
Time interval        :		2.00000us

index		CH1_Voltage(mV)
823		1.953125
824		5.859375
825		1.953125
826		3.906250
827		1.953125
828		3.906250
829		0.000000
830		3.906250
831		0.000000
832		5.859375
833		0.000000
834		3.906250
835		0.000000
836		3.906250
837		0.000000
838		3.906250
839		0.000000
840		1.953125
841		0.000000
842		1.953125
843		-1.953125
844		1.953125
845		-1.953125
846		1.953125
847		-1.953125
848		1.953125
849		-1.953125
850		1.953125
851		-1.953125
852		1.953125
853		-1.953125
854		1.953125
855		-1.953125
856		1.953125
857		-1.953125
858		1.953125
859		-1.953125
860		1.953125
861		-1.953125
862		1.953125
863		-1.953125
864		1.953125
865		0.000000
866		1.953125
867		0.000000
868		1.953125
869		-1.953125
870		3.906250
871		0.000000
872		1.953125
873		0.000000
874		3.906250
875		0.000000
876		3.906250
877		1.953125
878		3.906250
879		1.953125
880		3.906250
881		0.000000
882		3.906250
883		1.953125
884		3.906250
885		1.953125
886		5.859375
887		1.953125
888		5.859375
889		3.906250
890		5.859375
891		3.906250
892		7.812500
893		3.906250
894		7.812500
895		5.859375
896		7.812500
897		5.859375
898		9.765625
899		5.859375
900		9.765625
901		7.812500
902		9.765625
903		7.812500
904		11.718750
905		7.812500
906		11.718750
907		9.765625
908		11.718750
909		9.765625
910		11.718750
911		9.765625
912		13.671875
913		11.718750
914		13.671875
915		11.718750
916		15.625000
917		11.718750
918		15.625000
919		11.718750
920		15.625000
921		13.671875
922		17.578125
923		13.671875
924		17.578125
925		15.625000
926		17.578125
927		15.625000
928		19.531250
929		15.625000
930		19.531250
931		17.578125
932		19.531250
933		17.578125
934		19.531250
935		17.578125
936		21.484375
937		17.578125
938		21.484375
939		19.531250
940		21.484375
941		19.531250
942		21.484375
943		19.531250
944		23.437500
945		19.531250
946		23.437500
947		19.531250
948		25.390625
949		21.484375
950		25.390625
951		21.484375
952		25.390625
953		21.484375
954		25.390625
955		23.437500
956		25.390625
957		23.437500
958		25.390625
959		23.437500
960		27.343750
961		23.437500
962		27.343750
963		23.437500
964		27.343750
965		23.437500
966		27.343750
967		25.390625
968		27.343750
969		23.437500
970		27.343750
971		23.437500
972		27.343750
973		25.390625
974		29.296875
975		25.390625
976		29.296875
977		25.390625
978		29.296875
979		25.390625
980		29.296875
981		25.390625
982		29.296875
983		25.390625
984		29.296875
985		25.390625
986		27.343750
987		23.437500
988		29.296875
989		25.390625
990		29.296875
991		25.390625
992		27.343750
993		25.390625
994		27.343750
995		25.390625
996		27.343750
997		23.437500
998		27.343750
999		23.437500
1000		27.343750
1001		23.437500
1002		27.343750
1003		23.437500
1004		27.343750
1005		23.437500
1006		27.343750
1007		23.437500
1008		27.343750
1009		21.484375
1010		25.390625
1011		21.484375
1012		25.390625
1013		21.484375
1014		25.390625
1015		21.484375
1016		25.390625
1017		21.484375
1018		23.437500
1019		19.531250
1020		23.437500
1021		19.531250
1022		23.437500
1023		19.531250
1024		23.437500
1025		19.531250
1026		21.484375
1027		17.578125
1028		21.484375
1029		17.578125
1030		21.484375
1031		15.625000
1032		21.484375
1033		15.625000
1034		19.531250
1035		15.625000
1036		17.578125
1037		13.671875
1038		17.578125
1039		13.671875
1040		17.578125
1041		13.671875
1042		17.578125
1043		13.671875
1044		15.625000
1045		11.718750
1046		15.625000
1047		11.718750
1048		15.625000
1049		11.718750
1050		13.671875
